Номер заказа;Номер отправления;Дата отгрузки;Сумма отправления;OZON id;Ваша цена;Оплачено покупателем;Цена товара до скидок;Скидка %;Скидка руб
0159014159-0049;0159014159-0049-1;19.03.2025 13:00;15000.00;1064626945;15000.00;11562.00;28219.00;47%;13219.00
0179851009-0042;0179851009-0042-5;19.03.2025 13:00;13541.00;1266364538;13541.00;10322.00;35309.00;62%;21768.00
82453838-0104;82453838-0104-1;19.03.2025 13:00;8035.00;1363993554;8035.00;5972.00;15398.00;48%;7363.00
22475258-0293;22475258-0293-2;19.03.2025 13:00;16099.00;1351965762;16099.00;12705.00;29080.00;45%;12981.00
0100857614-0012;0100857614-0012-1;19.03.2025 13:00;7000.00;1720555710;7000.00;5497.00;15073.00;54%;8073.00
0159014159-0048;0159014159-0048-1;18.03.2025 13:00;15000.00;1064626945;15000.00;11837.00;28219.00;47%;13219.00
65863225-0331;65863225-0331-4;18.03.2025 13:00;26300.00;1338292056;26300.00;21118.00;43678.00;40%;17378.00
29500407-0579;29500407-0579-1;18.03.2025 13:00;21099.00;1606602149;21099.00;16941.00;44557.00;53%;23458.00
66338248-0082;66338248-0082-1;18.03.2025 13:00;6500.00;1232919540;6500.00;5105.00;7998.00;19%;1498.00
46317362-0154;46317362-0154-1;18.03.2025 13:00;13541.00;1266364538;13541.00;10476.00;35309.00;62%;21768.00
47871018-0126;47871018-0126-1;18.03.2025 13:00;34459.00;985384136;34459.00;28530.00;72068.00;52%;37609.00
0189140803-0002;0189140803-0002-1;18.03.2025 13:00;8233.00;1388975716;8233.00;6071.00;15398.00;47%;7165.00
0159369378-0143;0159369378-0143-1;17.03.2025 13:00;21300.00;985165859;21300.00;16957.00;46418.00;54%;25118.00
0106479132-0072;0106479132-0072-1;17.03.2025 13:00;20899.00;985122721;20899.00;16150.00;44274.00;53%;23375.00
0141200545-0560;0141200545-0560-1;17.03.2025 13:00;7000.00;1147625400;7000.00;5429.00;12308.00;43%;5308.00
0119657889-0113;0119657889-0113-1;17.03.2025 13:00;6600.00;1232993847;6600.00;4841.00;13610.00;52%;7010.00
0154547039-0213;0154547039-0213-1;17.03.2025 13:00;26440.00;1418098260;26440.00;25129.00;45963.00;42%;19523.00
68292320-0154;68292320-0154-1;16.03.2025 13:00;6184.00;1232966550;6184.00;4796.00;7998.00;23%;1814.00
0188673141-0010;0188673141-0010-1;16.03.2025 13:00;6600.00;1089561093;6600.00;5176.00;13610.00;52%;7010.00
83880909-0189;83880909-0189-1;16.03.2025 13:00;18099.00;985189781;18099.00;14139.00;40060.00;55%;21961.00
97236185-0161;97236185-0161-1;16.03.2025 13:00;7000.00;1720555710;7000.00;5429.00;15073.00;54%;8073.00
0112464354-0037;0112464354-0037-1;16.03.2025 13:00;27060.00;1325921922;27060.00;21389.00;38184.00;29%;11124.00
62661546-0379;62661546-0379-2;16.03.2025 13:00;42842.00;986666355;42842.00;34006.00;68319.00;37%;25477.00
62661546-0379;62661546-0379-5;16.03.2025 13:00;42842.00;986666355;42842.00;34006.00;68319.00;37%;25477.00
0139177487-1203;0139177487-1203-1;15.03.2025 13:00;20800.00;955086816;20800.00;15869.00;46343.00;55%;25543.00
60983707-0006;60983707-0006-1;15.03.2025 13:00;27060.00;1325921922;27060.00;782.68;38183.80;29%;11123.80
44573096-0153;44573096-0153-3;15.03.2025 13:00;21300.00;985165859;21300.00;16748.00;46418.00;54%;25118.00
