sku,total_qty,total_rev,total_fee,total_payout,returns_qty,returns_rub,promo_cost,production_cost,production_cost_total,comb_cost,net_qty,net_revenue,margin,avg_price_per_unit,avg_net_price_per_unit,commission_per_unit,promo_per_unit,margin_per_unit,contribution_margin,break_even_price,margin_pct,returns_pct,promo_intensity_pct,avg_order_value,conversion_order_return,recommended_action,ordered_qty_promo_sum,unique_visitors_total_sum,unique_visitors_card_sum,ordered_amount_promo_sum,ordered_amount_sum,card_to_cart_conversion_mean,accrual_amount_sum,accrual_qty_sum,accrual_cost_per_unit,margin_adj,opening_stock,incoming,incoming_from_supplies,outgoing,outgoing_shipped,ending_stock,valid_stock_end,valid_stock_end,invalid_stock_end,average_inventory,cogs,inventory_turnover,ABC_class,XYZ_class
1338292056,23,381893.0,91584.0,419616.0,0.0,0.0,211.0,0.0,0.0,91795.0,23.0,381893.0,290098.0,16604.043478260868,16604.043478260868,3981.913043478261,9.173913043478262,12612.95652173913,0.759631624564996,3991.0869565217395,75.9631624564996,0.0,0.05525107818158489,24750.0,0.0,SCALE,111,101334,6457,2713869,2735096,0.0,1497982.17,964,1553.9234128630706,1788080.17,27.0,87.0,40.0,111.0,76.0,3.0,3.0,3.0,0.0,15.0,0.0,0.0,A,Z
1351965762,4,44298.0,10800.0,49200.0,0.0,0.0,401.0,0.0,0.0,11201.0,4.0,44298.0,33097.0,11074.5,11074.5,2700.0,100.25,8274.25,0.7471443406022845,2800.25,74.71443406022846,0.0,0.9052327418845094,15312.142857142857,0.0,SCALE,20,20049,1987,311342,311342,0.0,219984.85,214,1027.9665887850467,253081.85,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,C,Z
1359397672,17,75101.0,17969.6,83170.4,0.0,0.0,477.0,4044.0,68748.0,87194.6,17.0,75101.0,-12093.600000000006,4417.705882352941,4417.705882352941,1057.035294117647,28.058823529411764,-711.388235294118,-0.1610311447251036,5129.094117647059,-16.10311447251036,0.0,0.6351446718419196,6021.1875,0.0,STOP,81,90628,2397,531205,531205,0.0,341264.92,752,453.80973404255315,329171.31999999995,12.0,35.0,28.0,44.0,42.0,3.0,3.0,3.0,0.0,7.5,68748.0,9166.4,B,Z
1403051903,3,49518.0,11440.0,54560.0,0.0,0.0,50.0,0.0,0.0,11490.0,3.0,49518.0,38028.0,16506.0,16506.0,3813.3333333333335,16.666666666666668,12676.0,0.7679631649097298,3830.0,76.79631649097298,0.0,0.10097338341613152,22000.0,0.0,SCALE,11,38442,789,277023,277023,0.0,181936.88,114,1595.9375438596492,219964.88,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,B,X
1418098260,2,39917.0,8838.36,43073.64,0.0,0.0,150.0,0.0,0.0,8988.36,2.0,39917.0,30928.64,19958.5,19958.5,4419.18,75.0,15464.32,0.7748237593005486,4494.18,77.48237593005486,0.0,0.37577974296665584,26198.0,0.0,SCALE,8,26405,827,236931,236931,0.0,152229.53,86,1770.1108139534883,183158.16999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,X
1442316061,1,8177.0,2038.14,9284.86,0.0,0.0,71.0,0.0,0.0,2109.1400000000003,1.0,8177.0,6067.86,8177.0,8177.0,2038.14,71.0,6067.86,0.7420643267702091,2109.1400000000003,74.2064326770209,0.0,0.8682891035832212,11621.0,0.0,SCALE,8,79414,3380,130217,130217,0.0,37812.83,65,581.7358461538462,43880.69,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,X
1577323801,18,165338.0,38006.799999999996,179815.2,1.0,11958.0,431.0,8564.0,154152.0,192589.8,17.0,153380.0,-39209.79999999999,9185.444444444445,9022.35294117647,2111.4888888888886,23.944444444444443,-2306.458823529411,-0.2510993166938598,10699.433333333334,-25.563828400052152,5.555555555555555,0.2606781260206365,12052.142857142857,7.142857142857142,STOP,148,137272,6656,2221289,2221289,0.0,1254505.05,1302,963.5215437788019,1215295.25,12.0,104.0,70.0,109.0,82.0,7.0,7.0,7.0,0.0,9.5,145588.0,15325.052631578947,A,Z
1606602149,5,68274.0,16237.460000000001,76137.54000000001,1.0,18800.0,611.0,13261.0,66305.0,83153.46,4.0,49474.0,-33679.46000000001,13654.8,12368.5,3247.492,122.2,-8419.865000000002,-0.6166230922459502,16630.692,-68.07506973359746,20.0,0.8949233969007234,19397.058823529413,5.88235294117647,STOP,59,99179,4140,1221418,1221418,0.0,667068.89,595,1121.1241848739496,633389.43,5.0,30.0,25.0,20.0,20.0,15.0,15.0,15.0,0.0,10.0,53044.0,5304.4,B,Z
1619464475,3,98366.0,22968.0,104632.0,0.0,0.0,106.0,0.0,0.0,23074.0,3.0,98366.0,75292.0,32788.666666666664,32788.666666666664,7656.0,35.333333333333336,25097.333333333332,0.7654270784620703,7691.333333333333,76.54270784620702,0.0,0.10776081166256635,42066.666666666664,0.0,SCALE,20,197716,5078,921900,921900,0.0,654038.2,182,3593.616483516483,729330.2,4.0,8.0,8.0,12.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,B,X
955086816,49,684528.0,165696.26,756739.74,3.0,58511.0,522.0,13792.0,675808.0,842026.26,46.0,626017.0,-216009.26,13969.959183673469,13609.065217391304,3381.5563265306123,10.653061224489797,-4695.853478260869,-0.33613938426884304,17184.2093877551,-34.505334519669596,6.122448979591836,0.07625692447934927,19357.29411764706,17.647058823529413,STOP,450,433134,18222,9543312,9543312,0.0,5581338.19,3949,1413.354821473791,5365328.930000001,78.0,433.0,376.0,381.0,344.0,130.0,130.0,130.0,0.0,104.0,634432.0,6100.307692307692,A,Z
965922030,11,100026.0,23999.4,109330.59999999999,0.0,0.0,234.0,8171.0,89881.0,114114.4,11.0,100026.0,-14088.399999999994,9093.272727272728,9093.272727272728,2181.7636363636366,21.272727272727273,-1280.763636363636,-0.1408473796812828,10374.036363636365,-14.08473796812828,0.0,0.23393917581428827,13421.888888888889,0.0,STOP,135,241726,11596,2109383,2109383,0.0,1204929.76,1153,1045.0388204683434,1190841.36,7.0,111.0,102.0,102.0,99.0,16.0,16.0,16.0,0.0,11.5,89881.0,7815.739130434783,A,Z
