date,sku,shipped_qty,promo_rub,order_value_rub_sum,shipments,returns_qty,returns_rub
2025-01-21,1577323801,1,32.0,11958.0,1,0,0.0
2025-01-21,1720555710,1,35.0,5612.0,1,1,5612.0
2025-01-21,985165859,1,25.0,20500.0,1,0,0.0
2025-01-21,985189781,0,0.0,0.0,0,1,14014.0
2025-01-22,1083286259,0,0.0,0.0,0,1,12000.0
2025-01-22,1090789726,3,88.0,16860.0,3,0,0.0
2025-01-22,1359397672,1,33.0,5580.0,1,0,0.0
2025-01-22,1606602149,1,32.0,17910.0,1,0,0.0
2025-01-22,1720555710,1,35.0,5512.0,1,0,0.0
2025-01-22,955086816,1,23.0,19800.0,1,0,0.0
2025-01-22,985122721,0,0.0,0.0,0,1,21300.0
2025-01-23,1090789726,1,29.0,5715.0,1,0,0.0
2025-01-23,1091369491,1,28.0,5850.0,1,0,0.0
2025-01-23,1577323801,2,64.0,23916.0,2,0,0.0
2025-01-23,985189781,0,0.0,0.0,0,1,14184.0
2025-01-24,1064626945,1,34.0,11512.0,1,0,0.0
2025-01-24,1087599272,1,30.0,5901.0,1,0,0.0
2025-01-24,1091369491,1,30.0,5558.0,1,0,0.0
2025-01-24,1232870909,1,32.0,4847.0,1,0,0.0
2025-01-24,1255409796,1,30.0,6120.0,1,0,0.0
2025-01-24,1266364538,0,0.0,0.0,0,1,14040.0
2025-01-24,1351965762,1,27.0,15000.0,1,0,0.0
2025-01-24,1359397672,0,0.0,0.0,0,1,5580.0
2025-01-24,965922030,1,14.0,14618.0,1,0,0.0
2025-01-24,985312532,1,25.0,36416.0,1,0,0.0
2025-01-25,1079018891,0,0.0,0.0,0,1,11036.0
2025-01-25,1233015711,1,34.0,5760.0,1,0,0.0
2025-01-25,1255409796,1,30.0,6120.0,1,0,0.0
2025-01-25,1266364538,1,37.0,14040.0,1,0,0.0
2025-01-25,1359397672,1,33.0,5580.0,1,0,0.0
2025-01-25,1606602149,0,0.0,0.0,0,1,17910.0
2025-01-25,955086816,0,0.0,0.0,0,1,19800.0
2025-01-25,967621232,1,23.0,33000.0,1,1,33000.0
2025-01-25,985122721,1,24.0,19170.0,1,0,0.0
2025-01-25,985165859,1,25.0,20500.0,1,0,0.0
2025-01-25,985189781,1,38.0,13814.0,1,0,0.0
2025-01-26,1091369491,1,28.0,5850.0,1,0,0.0
2025-01-26,1233015711,2,68.0,11520.0,2,0,0.0
2025-01-26,1255409796,2,60.0,12240.0,2,0,0.0
2025-01-26,1338292056,0,0.0,0.0,0,1,21600.0
2025-01-26,1351965762,1,27.0,15000.0,1,0,0.0
2025-01-26,1619464475,1,39.0,39600.0,1,0,0.0
2025-01-26,955086816,0,0.0,0.0,0,1,19800.0
